สาย,ของขนส่ง,ต้นทาง,ปลาย,ผ่าน,,,,,,
1-1(29),ThaiSmaileBus,บางเขน,หัวลำโพง,หลักสี่,วัดเสมือนนารี,BTSหมอชิต,แยกประดิพัทธ์,โรงพยาบาลวิชัยยุทธ,โรงพยาบาลสงฆ์,สามย่าน
1-13(126),ThaiSmaileBus,ศูนย์ราชการแจ้งวัฒนะ,คลองตัน,หลักสี่,รัชโยธิน,ตลาดโชคชัย4,แยกลาดพร้าว86,แยกศรีวรา,ตลาดเสรี,แยกรามคำแหง
1-15(150),ThaiSmaileBus,ท่าเรือปากเกร็ด,มีนบุรี,เซ็นทรัลแจ้งวัฒนะ,ตลาดลาดปลาเค้า,รามอินทรา กม.4,วัชรพล,รามอินทรา กม.8,โรงพยาบาลนพรัตน์ราชธานี,
1-17(187),ThaiSmaileBus,หมู่บ้านเอื้ออาทร คลอง3,อนุสาวรีย์ชัยสมรภูมิ,หมู่บ้านอินิชิโอ2,หมู่บ้านนภัสสร,ซอยรังสิต-นครนายก46,โรงพยาบาลวิภาวดีรังสิต,,,
1-18E(504E),ThaiSmaileBus,รังสิต,โรงพยาบาลธัญญารักษ์,โรงพยาบาลแพทย์รังสิต,หมู่บ้านศุภลักษณ์,ตลาดใหม่ดอนเมือง,แยกราชปรารถ,สนามม้าปทุมวัน,,
1-23(524),ThaiSmaileBus,หลักสี่,สถานีขนส่งผู้โดยสารกรุงเทพ,ห้าแยกลาดพร้าว,วชิรพยาบาล,ตลาดสดกรุงธน,,,,
1-24E(538E),ThaiSmaileBus,ตรงข้าม ม.ราชมงคลธัญบุรี,รพ.สงฆ์,ตรงข้ามโรงพยาบาลธัญบุรี,หมู่บ้านสินธานี,โรงพยาบาลราชวิถี2,รพ.แพทย์รังสิต,ตลาดสี่มุมเมือง,อนุสาวรีย์(รพ.ราชวิถี),
1-2E(34E),ThaiSmaileBus,รังสิต,สถานีรถไฟหัวลำโพง,โรงพยาบาลธัญญารักษ์,โรงพยาบาลแพทย์รังสิต,พหลโยธิน62/2,ตลาดยิ่งเจริญ,อนุสาวรีย์(เกาะพญาไท),จุฬาลงกรณ์,
1-3(34),ThaiSmaileBus,บางเขน(วัดพระศรีมหาธาตุ),สถานีรถไฟหัวลำโพง,มหาวิทยาลัยศรีปทุม,มหาวิทยาลัยเกษตรศาสตร์,แยกลาดพร้าว,แยกกำแพงเพชร,BTS อารีย์,แยกปทุมวัน,
1-31,ThaiSmaileBus,ศูนย์ราชการแจ้งวัฒนะอาคารB,คลองหลวง,โลตัสหลักสี่,สะพานใหม่,โรงพยาบาลแพทย์รังสิต,แม็คโครรังสิต,หมู่บ้านไวท์เฮ้าท์,,
1-32E,ThaiSmaileBus,บางเขน(วัดพระศรีมหาธาตุ),สถานีรถไฟตลาดพลู,แยกลาดปลาเค้า,ตลาดหัวมุม,ซอย ประดิษฐ์มนูธรรม 19,ซอยหมู่บ้าน84,แยกตากสิน,,
1-33,ThaiSmaileBus,บางเขน(วัดพระศรีมหาธาตุ),สถานีรถไฟฟ้าบางชื่อ,ลาดปลาเค้า66,วัดลาดปลาเค้า,ลาดปลาเค้า53,โรงพยาบาลวิภาวดีรังสิต,,,
1-37(27),ThaiSmaileBus,มีนบุรี,อนุสาวรีย์ชัยสมรภูมิ,ซอยเสรีไทย64,ซอยลาดพร้าว112,ตรงข้าม รพ.เวชธานี,MRTลาดพร้าว,แยกสุทธิสาร,,
1-39(71),ThaiSmaileBus,สวนสยาม,คลองเตย,รามอินทรา กม.10,โรงพยาบาลสินแพทย์,หมู๋บ้านปัฐวิกรณ์,ตลาดอินทรารักษ์,โรงพยาบาลรามคำราม,ศูนย์การประชุมแห่งชาติสิริกิติ์,
1-4(39),ThaiSmaileBus,ม.ธรรมศาสตร์,บางเขน(วัดพระศรีมหาธาตุ),ซอยนันทพร,ซอยคลองหลวง62,โรงพยาบาลแพทย์รังสิต,พหลโยธิน59,,,